filename_suggestion,description,url
logo.png,Lobster Lab logo,https://static.spotapps.co/website_images/ab_websites/244728_website_v1/logo.png
social.jpg,Social share image (Crab Roll),https://static.spotapps.co/website_images/ab_websites/244728_website_v1/social.jpg
hero_gallery_01.jpg,Homepage gallery/slideshow,https://static.spotapps.co/spots/89/7954b7888344d29b73ec50f02919ac/:original
hero_gallery_02.jpg,Homepage gallery/slideshow,https://cdn.spotapps.co/spothopper/image/fetch/f_auto,q_auto:best,c_fit,h_1200/http://static.spotapps.co/spots/d9/c138d1d8db49a4b05d4015726a8e0b/:original
hero_gallery_03.jpg,Homepage gallery/slideshow,https://cdn.spotapps.co/spothopper/image/fetch/f_auto,q_auto:best,c_fit,h_1200/http://static.spotapps.co/spots/48/eb947fc9e946ab91951330f46b65aa/:original
hero_gallery_04.jpg,Homepage gallery/slideshow,https://cdn.spotapps.co/spothopper/image/fetch/f_auto,q_auto:best,c_fit,h_1200/http://static.spotapps.co/spots/af/5add0011d84bfb93ac7ece4d9f9d93/:original
hero_gallery_05.jpg,Homepage gallery/slideshow,https://cdn.spotapps.co/spothopper/image/fetch/f_auto,q_auto:best,c_fit,h_1200/http://static.spotapps.co/spots/d7/2388d1916a401787ab8b6f2238319c/:original
hero_gallery_06.jpg,Homepage gallery/slideshow,https://cdn.spotapps.co/spothopper/image/fetch/f_auto,q_auto:best,c_fit,h_1200/http://static.spotapps.co/spots/eb/8837dfbc1847568028ec2996499b5d/:original
food_shrimp_roll.jpg,Shrimp roll,https://static.spotapps.co/spots/9c/ca112efdc74cd59c6bb1518484e36d/full
food_lobster_salad.jpg,Lobster Salad,https://static.spotapps.co/spots/8f/2e5e3e68c54ceba7a9aa7d0025df4d/full
food_crab_roll.jpg,Crab Roll,https://static.spotapps.co/spots/dc/b37a7b4dae494fa55b577b8415e4d0/full
food_california_roll.jpg,California Roll,https://static.spotapps.co/spots/9f/db00098d4f4d08b723c462990cd5e3/full
food_lobster_roll.jpg,Lobster Roll,https://static.spotapps.co/spots/48/eb947fc9e946ab91951330f46b65aa/full
food_smoked_salmon_salad.jpg,Smoked salmon salad,https://static.spotapps.co/spots/71/19121763d9487487be31018d99dac9/full
food_lobster_bisque.jpg,Lobster bisque,https://static.spotapps.co/spots/f0/5405e919ff4e1d9b980cadd79c06f7/full
food_lobster_roll_2.jpg,Lobster Roll,https://static.spotapps.co/spots/32/41f76064f9448bba3f7c30c86993fd/full
food_shrimp_roll_2.jpg,Shrimp Roll,https://static.spotapps.co/spots/23/e710e597dc41c498fa7b105eaf209f/full
food_crab_salad_roll.jpg,Crab salad roll,https://static.spotapps.co/spots/7e/9b8b1e73f044aeb2dc5b803b0e7544/full
food_crab_roll_2.jpg,Crab Roll,https://static.spotapps.co/spots/52/09c561a22f4329b0088874a8c2bf35/full
food_smoked_salmon_sandwich.jpg,Smoked Salmon sandwich,https://static.spotapps.co/spots/2b/5879235a0d475ab44ea568e6687f2d/full
video_lobster_lab.mp4,Homepage promo video,https://static.spotapps.co/website_videos/Lobster%20Lab%20Video_Vimeo720p30.mp4
